Date,Type,Action,Price,Base_Quantity,Quote_Amount,Index,Track_Index
2025-01-06 09:30:00,HK,Buy,234.21,5.331753554502369,1250.0,2,2
2025-01-06 10:30:00,HK,Sell,238.94,5.331753554502369,1272.6952251184834,18,2
2025-01-06 12:45:00,HK,Buy,234.21,5.380155693380652,1261.3476125592417,54,18
2025-01-07 10:00:00,AX,Sell,235.62,10.460251046025105,2462.179707112971,10,10
2025-01-07 10:15:00,HK,Sell,238.94,5.380155693380652,1284.2488669749964,14,10
2025-01-07 11:00:00,HK,Buy,230.04,11.054820392343522,2545.596479534238,26,10
2025-01-07 11:00:00,AX,Buy,230.04,10.460251046025105,2408.6824267782426,26,10
2025-01-08 10:30:00,HK,Buy,231.89,0.11523520430892552,26.7486401673641,18,18
2025-01-10 09:45:00,HK,Buy,227.75,0.05866496493347253,13.37432008368205,6,6
2025-01-10 10:00:00,AX,Sell,228.66,5.2301255230125525,1194.724581589958,8,8
2025-01-10 11:00:00,AX,Buy,223.25,5.2301255230125525,1168.7931485355648,26,8
2025-01-10 11:00:00,HK,Buy,223.25,0.05984746142709236,13.37432008368205,26,6
2025-01-13 10:15:00,HK,Sell,232.35,0.05866496493347253,13.61717379769005,14,14
2025-01-13 10:15:00,HK,Sell,227.75,0.05984746142709236,13.616629080680264,14,14
2025-01-13 10:15:00,HK,Sell,236.57,0.11523520430892552,27.233931091079146,14,14
2025-01-13 10:15:00,AX,Sell,228.66,10.460251046025105,2389.449163179916,14,14
2025-01-13 10:15:00,HK,Sell,234.68,11.054820392343522,2591.7509044255025,14,14
2025-01-13 10:30:00,HK,Buy,223.25,11.957347912107037,2672.1500714493454,16,14
2025-01-13 10:30:00,AX,Buy,223.25,10.460251046025105,2337.5862970711296,16,14
2025-01-13 10:30:00,HK,Buy,223.25,12.173984941968198,2720.5627009953955,18,14
2025-01-13 10:30:00,AX,Buy,223.25,10.460251046025105,2337.5862970711296,18,14
2025-01-13 10:30:00,AX,Sell,228.66,10.460251046025105,2389.449163179916,16,14
2025-01-13 10:30:00,HK,Sell,227.75,11.957347912107037,2720.5627009953955,16,14
2025-01-13 10:45:00,AX,Sell,228.66,10.460251046025105,2389.449163179916,22,16
2025-01-13 10:45:00,HK,Sell,227.75,12.173984941968198,2769.852445462724,22,14
2025-01-13 12:15:00,HK,Buy,223.25,12.394546889215055,2769.852445462724,46,14
2025-01-13 12:15:00,AX,Buy,223.25,10.460251046025105,2337.5862970711296,46,16
2025-01-14 09:45:00,HK,Sell,227.75,12.394546889215055,2820.0351959647105,4,4
2025-01-17 10:00:00,HK,Buy,229.58,12.948201805456828,2975.6237942910698,10,10
2025-01-17 10:00:00,AX,Sell,235.15,10.460251046025105,2457.2683054393306,10,10
2025-01-17 10:00:00,HK,Sell,234.21,12.948201805456828,3029.5657465111876,10,10
2025-01-17 10:00:00,HK,Buy,229.58,13.182926129299922,3029.5657465111876,10,10
2025-01-17 10:15:00,AX,Buy,229.58,10.460251046025105,2403.8658995815895,14,10
2025-01-17 10:15:00,HK,Sell,234.21,13.182926129299922,3084.4855556145917,14,10
2025-01-17 10:30:00,AX,Sell,235.15,10.460251046025105,2457.2683054393306,18,10
2025-01-27 09:30:00,AX,Buy,229.58,10.460251046025105,2274.4479079497905,0,14
2025-01-27 10:15:00,AX,Sell,240.86,10.460251046025105,2516.936610878661,14,14
2025-01-27 10:15:00,HK,Sell,239.9,6.665426479929535,1597.4367767225606,14,14
2025-01-27 10:15:00,HK,Buy,235.15,6.665426479929535,1568.9439807361664,14,14
2025-01-27 10:15:00,HK,Buy,239.9,6.533451591310672,1568.9439807361664,14,14
2025-01-27 10:30:00,AX,Buy,235.15,10.460251046025105,2462.187761506276,16,14
2025-01-27 10:30:00,AX,Buy,235.15,10.460251046025105,2462.187761506276,16,14
2025-01-27 10:30:00,AX,Sell,240.86,10.460251046025105,2516.936610878661,16,14
2025-01-27 10:30:00,HK,Buy,235.15,6.78647391003971,1597.4367767225606,16,16
2025-01-29 09:30:00,HK,Buy,207.75,0.3907478462937012,81.25912419170812,2,2
