Date,Type,Action,Price,Base_Quantity,Quote_Amount,Index,Track_Index
2025-01-22 09:45:00,HK,Buy,516.84,4.832249825864871,2500.0,6,6
2025-01-22 09:45:00,HK,Buy,516.84,4.919911602919218,2545.3524653180866,6,6
2025-01-22 09:45:00,HK,Sell,527.27,4.832249825864871,2545.3524653180866,6,6
2025-01-27 09:45:00,HK,Sell,527.27,4.919911602919218,2591.5276690803444,6,6
2025-01-27 09:45:00,AX,Sell,529.38,4.834841803976174,2556.909085634718,6,6
2025-01-27 10:00:00,AX,Sell,529.38,4.834841803976174,2556.909085634718,8,6
2025-01-27 10:00:00,AX,Buy,516.1455,4.834841803976174,2497.9773221745177,10,6
2025-01-27 10:00:00,HK,Buy,518.7923999999999,5.081976280867787,2639.1298012957686,10,6
2025-01-27 10:00:00,HK,Buy,518.7923999999999,4.9903123897174755,2591.5276690803444,8,6
2025-01-27 10:00:00,HK,Sell,529.38,4.9903123897174755,2639.1298012957686,8,6
2025-01-27 10:00:00,AX,Buy,516.1455,4.834841803976174,2497.9773221745177,8,6
2025-01-27 10:15:00,AX,Sell,529.38,4.834841803976174,2556.909085634718,12,8
2025-01-27 10:15:00,HK,Sell,529.38,5.081976280867787,2687.6063069622232,12,6
2025-01-27 10:15:00,HK,Sell,529.38,5.175323888043197,2736.9732468924553,14,6
2025-01-27 10:15:00,HK,Buy,518.7923999999999,5.175323888043197,2687.6063069622232,14,6
2025-01-27 10:30:00,HK,Buy,518.7923999999999,5.270386138358163,2736.9732468924553,16,6
2025-01-27 10:30:00,AX,Buy,516.1455,4.834841803976174,2497.9773221745177,16,8
2025-01-28 09:45:00,HK,Sell,529.38,5.270386138358163,2787.2469769101203,6,2
2025-02-03 09:30:00,HK,Buy,511.58939999999996,5.787997611020538,2964.042267290721,2,2
2025-02-03 09:45:00,HK,Sell,522.03,5.787997611020538,3018.4868844881703,6,2
2025-02-03 11:00:00,HK,Buy,511.58939999999996,5.894313677342968,3018.4868844881703,26,6
2025-02-04 10:45:00,HK,Sell,522.03,5.894313677342968,3073.9315604143662,22,14
2025-02-21 15:15:00,HK,Buy,526.0934,5.837095901324655,3073.9315604143662,94,6
